Family,Australian.family.common.name
Acanthuridae,surgeonfish
Albulidae,bonefish
Alopiidae,thresher shark
Anguillidae,freshwater eel
Antennariidae,anglerfish
Aplodactylidae,marblefish
Apogonidae,cardinalfish
Aracanidae,keeled boxfish
Ariidae,forktail catfish
Arripidae,australian salmon
Atherinidae,hardyhead
Aulopidae,flagfin
Aulostomidae,trumpetfish
Balistidae,triggerfish
Batrachoididae,frogfish
Belonidae,needlefish
Berycidae,alfonsino
Blenniidae,blenny
Bothidae,lefteye flounder
Bovichtidae,thornfish
Brachaeluridae,blind shark
Caesionidae,fusilier
Callanthiidae,splendid perch
Callionymidae,dragonet
Callorhinchidae,elephant fish
Carangidae,trevally
Carcharhinidae,requiem shark
Centriscidae,razorfish
Centrolophidae,trevalla
Centrophoridae,gulper shark
Chaetodontidae,butterflyfish
Chanidae,milkfish
Cheilodactylidae,morwong
Chimaeridae,ghost shark
Chironemidae,kelpfish
Cirrhitidae,hawkfish
Clinidae,weedfish
Clupeidae,herring
Congridae,conger eel
Cynoglossidae,tongue sole
Cyttidae,bigeye dory
Dasyatidae,stingray
Dinolestidae,longfin pike
Diodontidae,burrfish
Echeneidae,remora
Elopidae,giant herring
Engraulidae,anchovy
Enoplosidae,old wife
Ephippidae,batfish
Etmopteridae,lanternshark
Euclichthyidae,eucla cod
Exocoetidae,flyingfish
Fistulariidae,flutemouth
Gempylidae,gemfish
Gerreidae,silverbiddy
Ginglymostomatidae,nurse shark
Glaucosomatidae,pearl perch
Glaucostegidae,giant guitarfish
Gobiesocidae,clingfish
Gobiidae,goby
Gonorynchidae,beaked salmon
Grammicolepididae,scaly dory
Grammistidae,soapfish
Haemulidae,sweetlip bream
Hapalogenyidae,velvetchin
Hemigaleidae,weasel shark
Hemiramphidae,garfish
Hemiscylliidae,longtail carpetshark
Heterodontidae,horn shark
Hexanchidae,cowshark
Holocentridae,squirrelfish
Hypnidae,coffin ray
Isonidae,surf sardine
Kyphosidae,drummer
Labridae,wrasse
Lamnidae,mackerel shark
Latidae,giant perch
Latridae,trumpeter
Leiognathidae,ponyfish
Leptobramidae,beach salmon
Leptoscopidae,sandfish
Lethrinidae,emperor
Liparidae,snailfish
Lutjanidae,tropical snapper
Macroramphosidae,bellowsfish
Macrouridae,whiptail
Malacanthidae,tilefish
Microdesmidae,dartfish
Mobulidae,devilray
Molidae,ocean sunfish
Monacanthidae,leatherjacket
Monocentridae,pineapplefish
Monodactylidae,silver batfish
Moridae,pelagic cod
Mugilidae,mullet
Mullidae,goatfish
Muraenidae,moray eel
Myliobatidae,eagle ray
Myxinidae,hagfish
Narcinidae,numbfish
Nemipteridae,threadfin bream
Neosebastidae,gurnard perch
Odacidae,rock whiting
Odontaspididae,grey nurse shark
Ophichthidae,snake eel
Ophidiidae,cusk eel
Opistognathidae,jawfish
Oplegnathidae,knifejaw
Orectolobidae,wobbegong
Ostraciidae,boxfish
Paralichthyidae,sand flounder
Parascylliidae,collar carpetshark
Paraulopidae,cucumberfish
Pataecidae,prowfish
Pegasidae,seamoth
Pempheridae,bullseye
Pempherididae,bullseye
Pentacerotidae,boarfish
Peristediidae,armour gurnard
Phosichthyidae,lightfish
Pinguipedidae,grubfish
Platycephalidae,flathead
Plesiopidae,prettyfin
Pleuronectidae,righteye flounder
Plotosidae,eeltail catfish
Polymixiidae,beardfish
Polynemidae,threadfin salmon
Polyprionidae,wreckfish
Pomacanthidae,angelfish
Pomacentridae,damselfish
Pomatomidae,tailor
Priacanthidae,bigeye
Pristidae,sawfish
Pristiophoridae,sawshark
Pseudochromidae,dottyback
Pteroidae,lionfish
Rachycentridae,black kingfish
Rajidae,skate
Rhinidae,wedgefish
Rhinobatidae,guitarfish
Rhinopteridae,cownose ray
Scaridae,parrotfish
Sciaenidae,jewfish
Scombridae,mackerel
Scorpaenidae,scorpionfish
Scorpididae,sweep
Scyliorhinidae,catshark
Sebastidae,ocean perch
Serranidae,rockcod
Siganidae,rabbitfish
Sillaginidae,whiting
Soleidae,sole
Sparidae,bream
Sphyraenidae,pike
Sphyrnidae,hammerhead shark
Squalidae,dogfish
Squatinidae,angelshark
Stegostomatidae,zebra shark
Stomiidae,scaly dragonfish
Synaphobranchidae,basketwork eel
Syngnathidae,pipefish
Synodontidae,lizardfish
Terapontidae,striped grunter
Tetrabrachiidae,doublefin frogfish
Tetraodontidae,toadfish
Tetrarogidae,fortescue
Torpedinidae,electric ray
Trachichthyidae,roughy
Triacanthidae,tripodfish
Triakidae,hound shark
Trichiuridae,cutlassfish
Trichonotidae,sand diver
Triglidae,searobin
Tripterygiidae,triplefin
Uranoscopidae,stargazer
Urolophidae,stingaree
Veliferidae,veilfin
Zanclidae,moorish idol
Zeidae,dory
Zeniontidae,bighead dory
